scenario,method,avg_delay_mean,avg_delay_std,emg_delay_mean,emg_delay_std,person_delay_mean,person_delay_std,queue_mean,queue_std
E1,FixedTime,48.5,1.6,385.2,48.7,,,32.4,1.2
E1,MaxPressure,14.2,1.0,42.3,6.8,,,8.9,0.7
E1,PI-Light,9.8,0.8,55.2,9.1,,,5.7,0.5
E1,DQN,11.3,2.1,78.5,32.4,,,6.8,1.5
E1,SignalClaw,11.5,0.7,14.7,2.8,,,6.9,0.5
E2,FixedTime,50.2,1.8,425.8,55.3,,,34.1,1.3
E2,MaxPressure,15.1,1.1,72.3,5.8,,,9.5,0.8
E2,PI-Light,10.5,0.9,78.5,7.6,,,6.2,0.6
E2,DQN,12.1,2.3,95.3,38.7,,,7.4,1.6
E2,SignalClaw,12.3,0.7,11.2,2.1,,,7.5,0.5
B1,FixedTime,47.8,1.5,,,520.3,68.5,31.9,1.1
B1,MaxPressure,13.5,0.9,,,38.7,5.2,8.3,0.6
B1,PI-Light,9.5,0.7,,,42.3,6.1,5.4,0.4
B1,DQN,10.8,2.0,,,65.4,28.6,6.5,1.4
B1,SignalClaw,10.9,0.6,,,9.8,1.5,6.6,0.4
B2,FixedTime,51.3,1.9,,,485.6,62.1,35.2,1.4
B2,MaxPressure,14.8,1.1,,,45.2,6.4,9.2,0.7
B2,PI-Light,10.8,0.9,,,48.7,7.2,6.4,0.5
B2,DQN,10.5,2.2,,,58.3,24.5,6.3,1.5
B2,SignalClaw,11.8,0.8,,,11.5,1.8,7.1,0.6
I1,FixedTime,53.2,2.1,,,,,36.5,1.5
I1,MaxPressure,16.2,1.3,,,,,10.3,0.9
I1,PI-Light,11.5,0.9,,,,,6.9,0.6
I1,DQN,12.8,2.5,,,,,7.9,1.7
I1,SignalClaw,10.8,0.9,,,,,6.5,0.6
M1,FixedTime,54.1,2.2,352.5,45.8,,,37.2,1.6
M1,MaxPressure,16.8,1.4,55.3,8.1,,,10.7,0.9
M1,PI-Light,12.1,1.0,62.4,9.5,,,7.3,0.6
M1,DQN,13.5,2.6,82.7,35.4,,,8.3,1.8
M1,SignalClaw,13.2,0.7,18.5,3.2,,,8.0,0.5
